id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
WPS531,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Traveler Accommodation Services,2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Seasonally Adjusted,SA,2024-09-12 07:58:17-05:00,1,
WPS5311,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Traveler Accommodation Services,2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Seasonally Adjusted,SA,2024-09-12 07:55:56-05:00,2,
WPS531101,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Guestroom or Unit Rental,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 08:00:31-05:00,0,
WPU53,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services,2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:44-05:00,3,
WPU531,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Traveler Accommodation Services,2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:56:46-05:00,1,
WPU5311,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Traveler Accommodation Services,2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:59:55-05:00,0,
WPU531101,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Guestroom or Unit Rental,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:56:46-05:00,1,
WPU53110101,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Guestroom or Unit Rental,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:56:46-05:00,1,
WPU531102,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Other Traveler Accommodation Services,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:56:46-05:00,1,
WPU53110201,2024-09-18,2024-09-18,Producer Price Index by Commodity: Accommodation Services: Other Traveler Accommodation Services,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:59:55-05:00,0,
