id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
A074RC1A027NBEA,2024-09-18,2024-09-18,Federal government current tax receipts: Personal current taxes,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-05-30 07:55:31-05:00,6,"BEA Account Code: A074RC  For more information about this series, please see http://www.bea.gov/national/."
A074RC1Q027SBEA,2024-09-18,2024-09-18,Federal government current tax receipts: Personal current taxes,1947-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:58:12-05:00,40,"BEA Account Code: A074RC  For more information about this series, please see http://www.bea.gov/national/."
A074RU1Q027NBEA,2024-09-18,2024-09-18,Federal government current tax receipts: Personal current taxes (DISCONTINUED),1947-01-01,2016-10-01,Quarterly,Q,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2017-11-21 11:31:04-06:00,1,"BEA Account Code: A074RU1  For more information about this series, please see http://www.bea.gov/national/."
B035RC1A027NBEA,2024-09-18,2024-09-18,Personal current taxes: Federal: Other taxes,1933-01-01,1946-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2017-10-27 09:08:23-05:00,3,"BEA Account Code: B035RC  For more information about this series, please see http://www.bea.gov/national/."
B231RC1A027NBEA,2024-09-18,2024-09-18,Personal current taxes: Federal: Income taxes,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:53:04-05:00,3,"BEA Account Code: B231RC  For more information about this series, please see http://www.bea.gov/national/."
B245RC1Q027SBEA,2024-09-18,2024-09-18,State and local government current tax receipts: Personal current taxes: Income taxes,1958-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:57:34-05:00,7,"BEA Account Code: B245RC  For more information about this series, please see http://www.bea.gov/national/."
B247RC1A027NBEA,2024-09-18,2024-09-18,State and local government current tax receipts: Personal current taxes: Other,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:00-05:00,1,"BEA Account Code: B247RC  For more information about this series, please see http://www.bea.gov/national/."
B247RC1Q027SBEA,2024-09-18,2024-09-18,State and local government current tax receipts: Personal current taxes: Other,1958-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-07-25 07:54:31-05:00,2,"BEA Account Code: B247RC  For more information about this series, please see http://www.bea.gov/national/."
NA000320Q,2024-09-18,2024-09-18,Federal government current tax receipts: Personal current taxes,1947-01-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-08-29 10:57:41-05:00,2,BEA Account Code: NA000320
NA000321Q,2024-09-18,2024-09-18,State and local government current tax receipts: Personal current taxes,1947-01-01,2024-04-01,Quarterly,Q,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-08-29 10:58:49-05:00,1,BEA Account Code: NA000321
PTN0181A027NBEA,2024-09-18,2024-09-18,Personal current taxes: Federal: Income taxes: Withheld,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:52:03-05:00,8,"BEA Account Code: PTN018  For more information about this series, please see http://www.bea.gov/national/."
PTN1001A027NBEA,2024-09-18,2024-09-18,Personal current taxes: Federal: Income taxes: Declarations and settlements,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:52:19-05:00,1,"BEA Account Code: PTN100  For more information about this series, please see http://www.bea.gov/national/."
PTN2001A027NBEA,2024-09-18,2024-09-18,Personal current taxes: Federal: Income taxes: Refunds,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:54:56-05:00,3,"BEA Account Code: PTN200  For more information about this series, please see http://www.bea.gov/national/."
S210301A027NBEA,2024-09-18,2024-09-18,Personal current taxes: State and local: Motor vehicle licenses,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:58:32-05:00,0,"BEA Account Code: S21030  For more information about this series, please see http://www.bea.gov/national/."
