id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
ATNHPIUS35084Q,2024-09-18,2024-09-18,"All-Transactions House Price Index for Newark, NJ-PA (MSAD)",1976-07-01,2024-04-01,Quarterly,Q,Index 1995:Q1=100,Index 1995 Q1=100,Not Seasonally Adjusted,NSA,2024-08-27 09:03:20-05:00,6,Estimated using sales prices and appraisal data. Metropolitan Division refers to a county or group of counties within a Metropolitan Statistical Area that has a population core of at least 2.5 million.
SMS34350840000000001,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Newark, NJ-PA (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-08-17 05:22:51-05:00,1,This series is seasonally adjusted by the U.S. Bureau of Labor Statistics.
SMU34350840000000001,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Newark, NJ-PA (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-08-17 05:11:59-05:00,1,
SMU34350840000000001A,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Newark, NJ-PA (MD)",1990-01-01,2023-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-03-13 05:16:11-05:00,1,
SMU34350840000000001SA,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in Newark, NJ-PA (MD) (DISCONTINUED)",1990-01-01,2017-01-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2017-03-13 14:43:57-05:00,1,The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at https://www.census.gov/srd/www/x13as/.
SMU34350840500000001,2024-09-18,2024-09-18,"All Employees: Total Private in Newark, NJ-PA (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-08-17 06:34:08-05:00,0,
SMU34350840500000001A,2024-09-18,2024-09-18,"All Employees: Total Private in Newark, NJ-PA (MD)",1990-01-01,2023-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-03-13 05:25:08-05:00,1,
SMU34350840500000001SA,2024-09-18,2024-09-18,"All Employees: Total Private in Newark, NJ-PA (MD)",1990-01-01,2024-07-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2024-08-17 06:34:09-05:00,0,"The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'statsmodels' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodels' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/data/software/x13as.html).  Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU34350840500000001).  Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator."
SMU34350840500000002,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in Newark, NJ-PA (MD)",2007-01-01,2024-07-01,Monthly,M,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,2024-08-17 06:34:08-05:00,0,
SMU34350840500000002A,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in Newark, NJ-PA (MD)",2007-01-01,2023-01-01,Annual,A,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,2024-03-13 05:25:08-05:00,0,
