id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
AIRRPMTSI,2024-09-18,2024-09-18,Air Revenue Passenger Miles,2000-01-01,2024-06-01,Monthly,M,Thousands,Thous.,Not Seasonally Adjusted,NSA,2024-09-12 09:01:17-05:00,12,"Data from all U.S. air carrier domestic and international flights, scheduled and unscheduled service (all service).  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), Office of Airline Information, T-1: U.S. Air Carrier Traffic And Capacity Summary by Service Class (REV_PAX_MILES_140) available here (https://www.transtats.bts.gov/DL_SelectFields.asp?gnoyr_VQ=FJH&QO_fu146_anzr=Nv4%20Pn44vr4%20f7zzn4B)."
AIRRPMTSID11,2024-09-18,2024-09-18,Air Revenue Passenger Miles,2000-01-01,2024-06-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2024-09-12 09:01:06-05:00,35,"Data from all U.S. air carrier domestic and international flights, scheduled and unscheduled service (all service).  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS)."
AIRRTMFM,2024-09-18,2024-09-18,Air Revenue Ton Miles of Freight and Mail,2000-01-01,2024-06-01,Monthly,M,Ton Miles,Ton Miles,Not Seasonally Adjusted,NSA,2024-09-12 09:01:33-05:00,3,"Data from all U.S. air carrier domestic and international flights, scheduled and unscheduled service (all service).  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), Office of Airline Information, T-1: U.S. Air Carrier Traffic And Capacity Summary by Service Class (REV_TON_MILES_MAIL_249 + REV_TON_MILES_FREIGHT_247) available here (https://www.transtats.bts.gov/DL_SelectFields.asp?gnoyr_VQ=FJH&QO_fu146_anzr=Nv4%20Pn44vr4%20f7zzn4B)."
AIRRTMFMD11,2024-09-18,2024-09-18,Air Revenue Ton Miles of Freight and Mail,2000-01-01,2024-06-01,Monthly,M,Ton Miles,Ton Miles,Seasonally Adjusted,SA,2024-09-12 09:01:12-05:00,21,"Data from all U.S. air carrier domestic and international flights, scheduled and unscheduled service (all service).  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS)."
ASM,2024-09-18,2024-09-18,"Available Seat Miles for U.S. Air Carrier Domestic and International, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Not Seasonally Adjusted,NSA,2024-09-12 09:01:09-05:00,33,"Data from all U.S. air carrier domestic and international, scheduled passenger flights. International data in system total includes U.S. carrier operations to and from the U.S. and from one foreign point to another foreign point. BTS’ Airlines and Airports available here (https://www.transtats.bts.gov/Data_Elements.aspx) does not include U.S. carriers’ foreign point-to-point flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
ASMD,2024-09-18,2024-09-18,"Domestic Available Seat Miles (ASMs), Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Not Seasonally Adjusted,NSA,2024-09-12 09:01:33-05:00,3,
ASMD11,2024-09-18,2024-09-18,"Available Seat Miles for U.S. Air Carrier Domestic and International, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2024-09-12 09:01:25-05:00,9,"Data from all U.S. air carrier domestic and international, scheduled passenger flights. International data in system total includes U.S. carrier operations to and from the U.S. and from one foreign point to another foreign point. BTS’ Airlines and Airports available here (https://www.transtats.bts.gov/Data_Elements.aspx) does not include U.S. carriers’ foreign point-to-point flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from BTS U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
ASMDD11,2024-09-18,2024-09-18,"Available Seat Miles for U.S. Air Carrier Domestic, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2024-09-12 09:01:31-05:00,6,"Data from all U.S. air carrier domestic, scheduled passenger flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from BTS U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
ASMI,2024-09-18,2024-09-18,"Available Seat Miles for U.S. Air Carrier International, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Not Seasonally Adjusted,NSA,2024-09-12 09:01:35-05:00,1,"Data from all U.S. air carrier international, scheduled passenger flights. International data includes U.S. carrier operations to and from the U.S. and from one foreign point to another foreign point. BTS’ Airlines and Airports available here (https://www.transtats.bts.gov/Data_Elements.aspx) does not include U.S. carriers’ foreign point-to-point flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
ASMID11,2024-09-18,2024-09-18,"Available Seat Miles for U.S. Air Carrier International, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2024-09-12 09:01:35-05:00,1,"Data from all U.S. air carrier international, scheduled passenger flights. International data includes U.S. carrier operations to and from the U.S. and from one foreign point to another foreign point. BTS’ Airlines and Airports available here (https://www.transtats.bts.gov/Data_Elements.aspx) does not include U.S. carriers’ foreign point-to-point flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS) calculation from BTS U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
ENPLANE,2024-09-18,2024-09-18,"Enplanements for U.S. Air Carrier Domestic and International, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Not Seasonally Adjusted,NSA,2024-09-12 09:01:14-05:00,18,"Data from all U.S. air carrier domestic and international, scheduled passenger flights. International data in system total includes U.S. carrier operations to and from the U.S. and from one foreign point to another foreign point. BTS’ Airlines and Airports available here (https://www.transtats.bts.gov/Data_Elements.aspx) does not include U.S. carriers’ foreign point-to-point flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
ENPLANED,2024-09-18,2024-09-18,"Enplanements for U.S. Air Carrier Domestic, Scheduled Passenger Flights",2000-01-01,2024-05-01,Monthly,M,Thousands,Thous.,Not Seasonally Adjusted,NSA,2024-09-12 09:01:18-05:00,13,"Data from all U.S. air carrier domestic, scheduled passenger flights.  This data is collected by the U.S. Department of Transportation, Bureau of Transportation Statistics (BTS), U.S. Air Carrier Traffic Statistics reported in BTS' monthly Air Traffic Data release, available here (https://www.bts.dot.gov/statistical-releases)."
