id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
AEXUSAL,2024-09-17,2024-09-17,U.S. Dollars to Australian Dollar Spot Exchange Rate,1971-01-01,2023-01-01,Annual,A,U.S. Dollars to One Australian Dollar,U.S. $ to  1 Australian $,Not Seasonally Adjusted,NSA,2024-01-03 13:18:05-06:00,12,Average of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
DEXUSAL,2024-09-17,2024-09-17,U.S. Dollars to Australian Dollar Spot Exchange Rate,1971-01-04,2024-09-13,Daily,D,U.S. Dollars to One Australian Dollar,U.S. $ to  1 Australian $,Not Seasonally Adjusted,NSA,2024-09-16 15:20:15-05:00,46,Noon buying rates in New York City for cable transfers payable in foreign currencies.
EXUSAL,2024-09-17,2024-09-17,U.S. Dollars to Australian Dollar Spot Exchange Rate,1971-01-01,2024-08-01,Monthly,M,U.S. Dollars to One Australian Dollar,U.S. $ to  1 Australian $,Not Seasonally Adjusted,NSA,2024-09-03 15:19:55-05:00,19,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date."
