id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
WSCNDW01AUA189N,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1960-01-01,2022-01-01,Annual,A,"Number, Quarterly level","Number, Quarterly level",Not Seasonally Adjusted,NSA,2023-09-12 20:34:04-05:00,1,"OECD Descriptor ID: WSCNDW01 OECD unit ID: NBR OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUA189S,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1960-01-01,2022-01-01,Annual,A,"Number, Quarterly level","Number, Quarterly level",Seasonally Adjusted,SA,2023-09-12 20:34:02-05:00,1,"OECD Descriptor ID: WSCNDW01 OECD unit ID: NBR OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUA657S,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1960-01-01,2022-01-01,Annual,A,Growth rate previous period,Growth rate previous period,Seasonally Adjusted,SA,2023-09-12 20:34:03-05:00,1,"OECD Descriptor ID: WSCNDW01 OECD unit ID: PC OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUA659S,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1960-01-01,2022-01-01,Annual,A,Growth rate same period previous year,Growth rate same period previous Yr.,Seasonally Adjusted,SA,2023-09-12 20:35:32-05:00,1,"OECD Descriptor ID: WSCNDW01 OECD unit ID: PC OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUA661S,2024-09-18,2024-09-18,"Production, Sales, Work Started and Orders: Construction Work Started on Dwellings: Economic Activity: Construction of Buildings for Australia",1955-01-01,2023-01-01,Annual,A,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2024-05-15 14:07:20-05:00,3,"OECD Data Filters:  REF_AREA: AUS MEASURE: WSDW UNIT_MEASURE: IX ACTIVITY: F41 ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: _Z METHODOLOGY: N FREQ: A  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
WSCNDW01AUQ189N,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1960-01-01,2023-04-01,Quarterly,Q,"Number, Quarterly level","Number, Quarterly level",Not Seasonally Adjusted,NSA,2023-11-17 11:59:10-06:00,2,"OECD Descriptor ID: WSCNDW01 OECD unit ID: NBR OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUQ189S,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1965-07-01,2023-04-01,Quarterly,Q,"Number, Quarterly level","Number, Quarterly level",Seasonally Adjusted,SA,2023-11-17 11:59:03-06:00,6,"OECD Descriptor ID: WSCNDW01 OECD unit ID: NBR OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUQ657S,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1965-10-01,2023-04-01,Quarterly,Q,Growth rate previous period,Growth rate previous period,Seasonally Adjusted,SA,2023-11-17 11:59:10-06:00,1,"OECD Descriptor ID: WSCNDW01 OECD unit ID: PC OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUQ659S,2024-09-18,2024-09-18,Work Started: Construction: Dwellings and Residential Buildings: Total for Australia,1966-07-01,2023-04-01,Quarterly,Q,Growth rate same period previous year,Growth rate same period previous Yr.,Seasonally Adjusted,SA,2023-11-17 11:59:10-06:00,1,"OECD Descriptor ID: WSCNDW01 OECD unit ID: PC OECD country ID: AUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
WSCNDW01AUQ661S,2024-09-18,2024-09-18,"Production, Sales, Work Started and Orders: Construction Work Started on Dwellings: Economic Activity: Construction of Buildings for Australia",1965-07-01,2023-10-01,Quarterly,Q,Index 2015=100,Index 2015=100,Seasonally Adjusted,SA,2024-05-15 14:06:18-05:00,1,"OECD Data Filters:  REF_AREA: AUS MEASURE: WSDW UNIT_MEASURE: IX ACTIVITY: F41 ADJUSTMENT: Y TRANSFORMATION: _Z TIME_HORIZ: _Z METHODOLOGY: N FREQ: Q  All OECD data should be cited as follows: OECD (year), (dataset name), (data source) DOI or https://data-explorer.oecd.org/ (https://data-explorer.oecd.org/). (accessed on (date))."
