id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
WPS07,2024-09-18,2024-09-18,Producer Price Index by Commodity: Rubber and Plastic Products (DISCONTINUED),1967-01-01,1974-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:58-05:00,1,
WPS071,2024-09-18,2024-09-18,Producer Price Index by Commodity: Rubber and Plastic Products: Rubber and Rubber Products (DISCONTINUED),1967-01-01,1989-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:58-05:00,1,
WPS0711,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Rubber and Plastic Products: Synthetic Rubber, Including Styrene-Butadiene Rubber (SBR) and Ethylene Propylene (DISCONTINUED)",1967-01-01,1989-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:57-05:00,4,
WPS071102,2024-09-18,2024-09-18,Producer Price Index by Commodity: Rubber and Plastic Products: Synthetic Rubber (DISCONTINUED),1973-01-01,1989-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:57-05:00,1,
WPS0712,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Rubber and Plastic Products: Tires, Tubes, Tread, and Repair Materials (DISCONTINUED)",1967-01-01,1989-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:57-05:00,0,
WPS0713,2024-09-18,2024-09-18,Producer Price Index by Commodity: Rubber and Plastic Products: Miscellaneous Rubber Products (DISCONTINUED),1967-01-01,1994-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:56-05:00,1,
WPS071301,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Rubber and Plastic Products: Rubber and Plastics Footwear, Including Athletic Footwear (DISCONTINUED)",1973-01-01,1993-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:55-05:00,1,
WPS071303,2024-09-18,2024-09-18,Producer Price Index by Commodity: Rubber and Plastic Products: Rubber and Plastic Belts and Belting,1994-01-01,2024-08-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2024-09-12 07:55:57-05:00,1,
WPS071304,2024-09-18,2024-09-18,Producer Price Index by Commodity: Rubber and Plastic Products: Rubber and Plastics Hose (DISCONTINUED),1973-01-01,1989-12-01,Monthly,M,Index 1982=100,Index 1982=100,Seasonally Adjusted,SA,2015-05-14 10:44:55-05:00,1,
WPS071306,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Rubber and Plastic Products: Miscellaneous Rubber Products, Not Elsewhere Classified (DISCONTINUED)",1991-01-01,1994-12-01,Monthly,M,Index Jun 1983=100,Index Jun 1983=100,Seasonally Adjusted,SA,2015-05-14 10:44:55-05:00,1,
