id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
COPRIMZ11,2024-09-18,2024-09-18,"Import Price Index: Agriculture, forestry, fishing and hunting for Pacific Rim (DISCONTINUED)",2012-06-01,2016-12-01,Monthly,M,Index 2010=100,Index 2010=100,Not Seasonally Adjusted,NSA,2017-01-12 08:24:36-06:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ31,2024-09-18,2024-09-18,"Import Price Index by Origin (NAICS): Manufacturing, Part 1 for Pacific Rim",2012-06-01,2024-08-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2024-09-13 07:37:48-05:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ3117,2024-09-18,2024-09-18,Import Price Index by Origin (NAICS): Seafood Product Preparation and Packaging for Pacific Rim,2012-06-01,2024-08-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2024-09-13 07:37:49-05:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ314,2024-09-18,2024-09-18,Import Price Index by Origin (NAICS): Textile Product Mills for Pacific Rim,2012-06-01,2022-12-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2023-01-13 07:37:53-06:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ315,2024-09-18,2024-09-18,Import Price Index by Origin (NAICS): Apparel Manufacturing for Pacific Rim,2012-06-01,2024-08-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2024-09-13 07:37:49-05:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ3152,2024-09-18,2024-09-18,Import Price Index by Origin (NAICS): Cut and Sew Apparel Manufacturing for Pacific Rim,2012-06-01,2024-08-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2024-09-13 07:37:49-05:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ3159,2024-09-18,2024-09-18,Import Price Index: Apparel accessories and other apparel manufacturing for Pacific Rim,2012-06-01,2018-12-01,Monthly,M,Index 2010=100,Index 2010=100,Not Seasonally Adjusted,NSA,2019-01-16 07:51:48-06:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ316,2024-09-18,2024-09-18,Import Price Index by Origin (NAICS): Leather and Allied Product Manufacturing for Pacific Rim,2012-06-01,2024-08-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2024-09-13 07:37:49-05:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ3162,2024-09-18,2024-09-18,Import Price Index by Origin (NAICS): Footwear Manufacturing for Pacific Rim,2012-06-01,2024-08-01,Monthly,M,Index Jun 2012=100,Index Jun 2012=100,Not Seasonally Adjusted,NSA,2024-09-13 07:37:49-05:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
COPRIMZ3169,2024-09-18,2024-09-18,Import Price Index: Other leather and allied product manufacturing for Pacific Rim (DISCONTINUED),2012-06-01,2014-12-01,Monthly,M,Index 2010=100,Index 2010=100,Not Seasonally Adjusted,NSA,2015-01-14 09:29:36-06:00,1,"For more information, please see the Import/Export Price Indexes web site at https://www.bls.gov/mxp/"
