id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
A788RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Federal: National defense,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:09-05:00,1,"BEA Account Code: A788RC  For more information about this series, please see http://www.bea.gov/national/."
A798RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Federal: Nondefense,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:08-05:00,1,"BEA Account Code: A798RC  For more information about this series, please see http://www.bea.gov/national/."
A801RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Structures: Federal,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 08:00:44-05:00,0,"BEA Account Code: A801RC  For more information about this series, please see http://www.bea.gov/national/."
A801RC1Q027SBEA,2024-09-18,2024-09-18,Government consumption expenditures and gross investment: Federal: Gross investment: Structures,1947-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:59:30-05:00,1,"BEA Account Code: A801RC  For more information about this series, please see http://www.bea.gov/national/."
A808RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Structures: Federal: National defense,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-02-28 07:57:59-06:00,1,"BEA Account Code: A808RC  For more information about this series, please see http://www.bea.gov/national/."
A808RC1Q027SBEA,2024-09-18,2024-09-18,Government consumption expenditures and gross investment: Federal: National defense: Gross investment: Structures,1947-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:59:30-05:00,1,"BEA Account Code: A808RC  For more information about this series, please see http://www.bea.gov/national/."
A814RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Structures: Federal: National defense: New,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:24-05:00,1,"BEA Account Code: A814RC  For more information about this series, please see http://www.bea.gov/national/."
A814RX1A020NBEA,2024-09-18,2024-09-18,Real gross government fixed investment: Structures: Federal: National defense: New,2007-01-01,2022-01-01,Annual,A,Billions of Chained 2017 Dollars,Bil. of Chn. 2017 $,Not Seasonally Adjusted,NSA,2023-10-30 19:05:31-05:00,0,"BEA Account Code: A814RX  For more information about this series, please see http://www.bea.gov/national/."
A815RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Structures: Federal: National defense: New: Buildings,1929-01-01,1997-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2017-10-27 09:09:16-05:00,0,"BEA Account Code: A815RC  For more information about this series, please see http://www.bea.gov/national/."
A830RC1A027NBEA,2024-09-18,2024-09-18,Gross government fixed investment: Structures: Federal: Nondefense,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:08-05:00,1,"BEA Account Code: A830RC  For more information about this series, please see http://www.bea.gov/national/."
