id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
MANMM102RUA189N,2024-09-18,2024-09-18,M0 for the Russian Federation (DISCONTINUED),1995-01-01,2013-01-01,Annual,A,National Currency,National Currency,Not Seasonally Adjusted,NSA,2014-04-03 13:13:45-05:00,1,"OECD descriptor ID: MANMM102 OECD unit ID: ST OECD country ID: RUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
MANMM102RUA189S,2024-09-18,2024-09-18,M0 for the Russian Federation (DISCONTINUED),1995-01-01,2013-01-01,Annual,A,National Currency,National Currency,Not Seasonally Adjusted,NSA,2014-04-03 13:13:45-05:00,2,"OECD descriptor ID: MANMM102 OECD unit ID: STSA OECD country ID: RUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
MANMM102RUM189N,2024-09-18,2024-09-18,M0 for the Russian Federation (DISCONTINUED),1995-06-01,2013-12-01,Monthly,M,National Currency,National Currency,Not Seasonally Adjusted,NSA,2014-04-03 13:13:45-05:00,1,"OECD descriptor ID: MANMM102 OECD unit ID: ST OECD country ID: RUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
MANMM102RUM189S,2024-09-18,2024-09-18,M0 for the Russian Federation (DISCONTINUED),1995-06-01,2013-12-01,Monthly,M,National Currency,National Currency,Seasonally Adjusted,SA,2014-04-03 13:13:45-05:00,5,"OECD descriptor ID: MANMM102 OECD unit ID: STSA OECD country ID: RUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
MANMM102RUQ189N,2024-09-18,2024-09-18,M0 for the Russian Federation (DISCONTINUED),1995-04-01,2013-10-01,Quarterly,Q,National Currency,National Currency,Not Seasonally Adjusted,NSA,2014-04-03 13:13:45-05:00,1,"OECD descriptor ID: MANMM102 OECD unit ID: ST OECD country ID: RUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
MANMM102RUQ189S,2024-09-18,2024-09-18,M0 for the Russian Federation (DISCONTINUED),1995-07-01,2013-10-01,Quarterly,Q,National Currency,National Currency,Seasonally Adjusted,SA,2014-04-03 13:13:45-05:00,0,"OECD descriptor ID: MANMM102 OECD unit ID: STSA OECD country ID: RUS  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission."
