id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
WPS581,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 07:53:17-05:00,10,
WPS5811,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 07:53:16-05:00,7,
WPS581101,2024-09-18,2024-09-18,Producer Price Index by Commodity for Retail Trade Services: Food and Alcohol Retailing (DISCONTINUED),2009-03-01,2015-09-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2015-10-15 08:54:55-05:00,1,"In January 2014, the Producer Price Index (PPI) transitioned from the Stage of Processing (SOP) aggregation system to the Final Demand-Intermediate Demand (FD-ID) aggregation system. Effective with the January 2016 Producer Price Index (PPI) data release in February 2016, PPI ceased the calculation and publication of the Stage of Processing (SOP) versions of these indexes. Going forward, data users wishing to track prices for finished goods, processed goods for intermediate demand (intermediate goods), unprocessed goods for intermediate demand (crude goods), or any of the former SOP-based component indexes will need to use the corresponding index codes from the Final Demand-Intermediate Demand (FD-ID) aggregation system. The FD-ID aggregation system webpage provides a table listing the SOP indexes and their concordant FD-ID indexes.  https://www.bls.gov/ppi/fdidconcordance.htm"
WPS583,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Jewelry, Footwear, and Accessories Retailing",2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Seasonally Adjusted,SA,2024-09-12 07:53:15-05:00,6,
WPS5831,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Jewelry, Footwear, and Accessories Retailing",2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Seasonally Adjusted,SA,2024-09-12 07:53:14-05:00,9,
WPS583101,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Footwear, and Accessories Retailing",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 07:58:17-05:00,1,
WPS583102,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Jewelry Retailing,2009-03-01,2015-12-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2021-02-17 10:48:11-06:00,1,
WPS58D,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Hardware and Building Materials and Supplies Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 07:58:17-05:00,1,
WPS58D1,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Hardware and Building Materials and Supplies Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 07:58:17-05:00,1,
WPS58D101,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Hardware and Building Materials and Supplies Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Seasonally Adjusted,SA,2024-09-12 07:58:17-05:00,1,
WPU58,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services,2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:52:49-05:00,3,
WPU581,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:52:49-05:00,1,
WPU5811,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:50:10-05:00,56,
WPU581101,2024-09-18,2024-09-18,Producer Price Index by Commodity for Retail Trade Services: Food and Alcohol Retailing (DISCONTINUED),2009-03-01,2015-09-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2015-10-15 08:47:21-05:00,1,"In January 2014, the Producer Price Index (PPI) transitioned from the Stage of Processing (SOP) aggregation system to the Final Demand-Intermediate Demand (FD-ID) aggregation system. Effective with the January 2016 Producer Price Index (PPI) data release in February 2016, PPI ceased the calculation and publication of the Stage of Processing (SOP) versions of these indexes. Going forward, data users wishing to track prices for finished goods, processed goods for intermediate demand (intermediate goods), unprocessed goods for intermediate demand (crude goods), or any of the former SOP-based component indexes will need to use the corresponding index codes from the Final Demand-Intermediate Demand (FD-ID) aggregation system. The FD-ID aggregation system webpage provides a table listing the SOP indexes and their concordant FD-ID indexes.  https://www.bls.gov/ppi/fdidconcordance.htm"
WPU58110101,2024-09-18,2024-09-18,Producer Price Index by Commodity for Retail Trade Services: Food and Alcohol Retailing (DISCONTINUED),2009-03-01,2015-09-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2015-10-15 08:47:21-05:00,0,"In January 2014, the Producer Price Index (PPI) transitioned from the Stage of Processing (SOP) aggregation system to the Final Demand-Intermediate Demand (FD-ID) aggregation system. Effective with the January 2016 Producer Price Index (PPI) data release in February 2016, PPI ceased the calculation and publication of the Stage of Processing (SOP) versions of these indexes. Going forward, data users wishing to track prices for finished goods, processed goods for intermediate demand (intermediate goods), unprocessed goods for intermediate demand (crude goods), or any of the former SOP-based component indexes will need to use the corresponding index codes from the Final Demand-Intermediate Demand (FD-ID) aggregation system. The FD-ID aggregation system webpage provides a table listing the SOP indexes and their concordant FD-ID indexes.  https://www.bls.gov/ppi/fdidconcordance.htm"
WPU582,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Health and Beauty Care Retailing, Including Optical Goods",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:43-05:00,1,
WPU5821,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Health and Beauty Care Retailing, Including Optical Goods",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:57:11-05:00,1,
WPU582101,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Health and Beauty Care Retailing, Including Optical Goods",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:43-05:00,3,
WPU58210101,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Health and Beauty Care Retailing, Including Optical Goods",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:57:11-05:00,1,
WPU583,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Jewelry, Footwear, and Accessories Retailing",2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:43-05:00,1,
WPU5831,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Jewelry, Footwear, and Accessories Retailing",2009-06-01,2024-08-01,Monthly,M,Index Jun 2009=100,Index Jun 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:50:09-05:00,57,
WPU583101,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Footwear, and Accessories Retailing",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:57:11-05:00,1,
WPU58310101,2024-09-18,2024-09-18,"Producer Price Index by Commodity: Retail Trade Services: Apparel, Footwear, and Accessories Retailing",2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:57:10-05:00,1,
WPU583102,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Jewelry Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:43-05:00,1,
WPU58310201,2024-09-18,2024-09-18,Producer Price Index by Commodity: Retail Trade Services: Jewelry Retailing,2009-03-01,2024-08-01,Monthly,M,Index Mar 2009=100,Index Mar 2009=100,Not Seasonally Adjusted,NSA,2024-09-12 07:57:10-05:00,1,
