id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
AEXDNUS,2024-09-17,2024-09-17,Danish Kroner to U.S. Dollar Spot Exchange Rate,1971-01-01,2023-01-01,Annual,A,Danish Kroner to One U.S. Dollar,Danish Kroner to  1 U.S. $,Not Seasonally Adjusted,NSA,2024-01-03 13:18:07-06:00,2,Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.
DEXDNUS,2024-09-17,2024-09-17,Danish Kroner to U.S. Dollar Spot Exchange Rate,1971-01-04,2024-09-13,Daily,D,Danish Kroner to One U.S. Dollar,Danish Kroner to  1 U.S. $,Not Seasonally Adjusted,NSA,2024-09-16 15:20:10-05:00,22,Noon buying rates in New York City for cable transfers payable in foreign currencies.
EXDNUS,2024-09-17,2024-09-17,Danish Kroner to U.S. Dollar Spot Exchange Rate,1971-01-01,2024-08-01,Monthly,M,Danish Kroner to One U.S. Dollar,Danish Kroner to  1 U.S. $,Not Seasonally Adjusted,NSA,2024-09-03 15:19:50-05:00,7,"Averages of daily figures. Noon buying rates in New York City for cable transfers payable in foreign currencies.  This data series is updated from the source files in the Data Download Program (http://www.federalreserve.gov/datadownload/Choose.aspx?rel=h10). The files are updated on a weekly basis every Monday. If Monday is a holiday, the data files are updated the next business day.  Monthly values are averages of the daily data available. Preliminary value for the current month is provided by the source even if not all daily values are available for the entire month.  Please note that the values reported on the press release may not correspond to the values in the Data Download Program when the press release is published on a day other than Monday. This inconsistency is resolved on the next available weekly release date."
