id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
AMINDGN,2024-09-18,2024-09-18,"Advance Merchant Wholesale Inventories: Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Sales: Durable Goods Inventories",2024-06-01,2024-07-01,Monthly,M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-08-29 07:31:10-05:00,1,"This series represent the advance estimate of the current month and revised estimate of the prior month of nearly complete coverage. The current month statistics reflecting complete coverage is available on FRED at https://fred.stlouisfed.org/series/I423IMM144NCEN   For more information on data collection and methodology, see https://www.census.gov/econ/indicators/methodology.html"
AMINDGS,2024-09-18,2024-09-18,"Advance Merchant Wholesale Inventories: Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Sales: Durable Goods Inventories",2024-06-01,2024-07-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2024-08-29 07:31:04-05:00,2,"This series represent the advance estimate of the current month and revised estimate of the prior month of nearly complete coverage. The current month statistics reflecting complete coverage is available on FRED at https://fred.stlouisfed.org/series/I423IMM144SCEN   For more information on data collection and methodology, see https://www.census.gov/econ/indicators/methodology.html"
AMINNGN,2024-09-18,2024-09-18,"Advance Merchant Wholesale Inventories: Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Sales: Nondurable Goods Inventories",2024-06-01,2024-07-01,Monthly,M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-08-29 07:31:10-05:00,1,"This series represent the advance estimate of the current month and revised estimate of the prior month of nearly complete coverage. The current month statistics reflecting complete coverage is available on FRED at https://fred.stlouisfed.org/series/I424IMM144NCEN   For more information on data collection and methodology, see https://www.census.gov/econ/indicators/methodology.html"
AMINNGS,2024-09-18,2024-09-18,"Advance Merchant Wholesale Inventories: Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Sales: Nondurable Goods Inventories",2024-06-01,2024-07-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2024-08-29 07:31:04-05:00,2,"This series represent the advance estimate of the current month and revised estimate of the prior month of nearly complete coverage. The current month statistics reflecting complete coverage is available on FRED at https://fred.stlouisfed.org/series/I424IMM144SCEN   For more information on data collection and methodology, see https://www.census.gov/econ/indicators/methodology.html"
AMINVTN,2024-09-18,2024-09-18,"Advance Merchant Wholesale Inventories: Total Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Inventories",2024-06-01,2024-07-01,Monthly,M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-08-29 07:31:10-05:00,1,"This series represent the advance estimate of the current month and revised estimate of the prior month of nearly complete coverage. The current month statistics reflecting complete coverage is available on FRED at https://fred.stlouisfed.org/series/I42IMNM144NCEN   For more information on data collection and methodology, see https://www.census.gov/econ/indicators/methodology.html"
AMINVTS,2024-09-18,2024-09-18,"Advance Merchant Wholesale Inventories: Total Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices Inventories",2024-06-01,2024-07-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2024-08-29 07:31:03-05:00,5,"This series represent the advance estimate of the current month and revised estimate of the prior month of nearly complete coverage. The current month statistics reflecting complete coverage is available on FRED at https://fred.stlouisfed.org/series/I42IMSM144SCEN   For more information on data collection and methodology, see https://www.census.gov/econ/indicators/methodology.html"
I4231IM144NCEN,2024-09-18,2024-09-18,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Durable Goods: Motor Vehicle and Motor Vehicle Parts and Supplies Inventories",1992-01-01,2024-07-01,"Monthly, End of Month",M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-09 09:02:33-05:00,1,"Definition of inventories (as provided by the Census Bureau): The value, at cost, of merchandise on hand and available for sale at the end of the reference month. All goods owned by a firm, regardless of location, except goods outside the United States are included. Items not held for resale, such as fixtures, equipment, and supplies are excluded. Also excluded is the value of goods on a firm's premises but not owned by the firm. (http://www.census.gov/wholesale/definitions.html)"
I4231IM144SCEN,2024-09-18,2024-09-18,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Durable Goods: Motor Vehicle and Motor Vehicle Parts and Supplies Inventories",1992-01-01,2024-07-01,"Monthly, End of Month",M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2024-09-09 09:02:14-05:00,8,"Definition of inventories (as provided by the Census Bureau): The value, at cost, of merchandise on hand and available for sale at the end of the reference month. All goods owned by a firm, regardless of location, except goods outside the United States are included. Items not held for resale, such as fixtures, equipment, and supplies are excluded. Also excluded is the value of goods on a firm's premises but not owned by the firm. (http://www.census.gov/wholesale/definitions.html)"
I4232IM144NCEN,2024-09-18,2024-09-18,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Durable Goods: Furniture and Home Furnishings Inventories",1992-01-01,2024-07-01,"Monthly, End of Month",M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-09-09 09:02:33-05:00,1,"Definition of inventories (as provided by the Census Bureau): The value, at cost, of merchandise on hand and available for sale at the end of the reference month. All goods owned by a firm, regardless of location, except goods outside the United States are included. Items not held for resale, such as fixtures, equipment, and supplies are excluded. Also excluded is the value of goods on a firm's premises but not owned by the firm. (http://www.census.gov/wholesale/definitions.html)"
I4232IM144SCEN,2024-09-18,2024-09-18,"Merchant Wholesalers, Except Manufacturers' Sales Branches and Offices: Durable Goods: Furniture and Home Furnishings Inventories",1992-01-01,2024-07-01,"Monthly, End of Month",M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2024-09-09 09:02:22-05:00,3,"Definition of inventories (as provided by the Census Bureau): The value, at cost, of merchandise on hand and available for sale at the end of the reference month. All goods owned by a firm, regardless of location, except goods outside the United States are included. Items not held for resale, such as fixtures, equipment, and supplies are excluded. Also excluded is the value of goods on a firm's premises but not owned by the firm. (http://www.census.gov/wholesale/definitions.html)"
