id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
A030RC1A027NBEA,2024-09-17,2024-09-17,"Net lending or net borrowing (-), NIPAs: Government: Statistical discrepancy",1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-05-30 07:55:57-05:00,1,"BEA Account Code: A030RC  For more information about this series, please see http://www.bea.gov/national/."
A030RC1Q027SBEA,2024-09-17,2024-09-17,"Net lending or net borrowing (-), NIPAs: Government: Statistical discrepancy",1947-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:58:24-05:00,3,"BEA Account Code: A030RC  For more information about this series, please see http://www.bea.gov/national/."
A126RC1A027NBEA,2024-09-17,2024-09-17,Gross private saving,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-05-30 07:55:20-05:00,8,"BEA Account Code: A126RC  For more information about this series, please see http://www.bea.gov/national/."
A127RC1A027NBEA,2024-09-17,2024-09-17,Net private saving: Domestic business,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:20-05:00,2,"BEA Account Code: A127RC  For more information about this series, please see http://www.bea.gov/national/."
A127RC1Q027SBEA,2024-09-17,2024-09-17,Net private saving: Domestic business,1947-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:58:18-05:00,8,"BEA Account Code: A127RC  For more information about this series, please see http://www.bea.gov/national/."
A1400C1A027NBEA,2024-09-17,2024-09-17,Capital consumption adjustment: for consistent accounting at historical cost,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:37-05:00,1,"BEA Account Code: A1400C  For more information about this series, please see http://www.bea.gov/national/."
A1401C1A027NBEA,2024-09-17,2024-09-17,Capital consumption adjustment: for current-cost valuation,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:59:21-05:00,0,"BEA Account Code: A1401C  For more information about this series, please see http://www.bea.gov/national/."
A1402C1A027NBEA,2024-09-17,2024-09-17,Capital consumption adjustment: Domestic corporate business: for consistent accounting at historical cost,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-30 15:06:09-05:00,0,"BEA Account Code: A1402C  For more information about this series, please see http://www.bea.gov/national/."
A1403C1A027NBEA,2024-09-17,2024-09-17,Capital consumption adjustment: Domestic corporate business: for current-cost valuation,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:37-05:00,1,"BEA Account Code: A1403C  For more information about this series, please see http://www.bea.gov/national/."
A1626C1A027NBEA,2024-09-17,2024-09-17,Net interest (paid and received): Domestic business,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:36-05:00,1,"BEA Account Code: A1626C  For more information about this series, please see http://www.bea.gov/national/."
A1627C1A027NBEA,2024-09-17,2024-09-17,Net interest (paid and received): Rest of the world,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:54:31-05:00,1,"BEA Account Code: A1627C  For more information about this series, please see http://www.bea.gov/national/."
A1870C1A027NBEA,2024-09-17,2024-09-17,Business current transfer payments (net): Insurance payments to persons by business,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:35-05:00,1,"BEA Account Code: A1870C  For more information about this series, please see http://www.bea.gov/national/."
A195RX1A020NBEA,2024-09-17,2024-09-17,Real gross value added: GDP: Business,1929-01-01,2023-01-01,Annual,A,Billions of Chained 2017 Dollars,Bil. of Chn. 2017 $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:18-05:00,1,"BEA Account Code: A195RX  For more information about this series, please see http://www.bea.gov/national/."
A195RX1Q020SBEA,2024-09-17,2024-09-17,Real gross value added: GDP: Business,1947-01-01,2024-04-01,Quarterly,Q,Billions of Chained 2017 Dollars,Bil. of Chn. 2017 $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:58:25-05:00,2,"BEA Account Code: A195RX  For more information about this series, please see http://www.bea.gov/national/."
A2061C1A027NBEA,2024-09-17,2024-09-17,Monetary interest paid,1960-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:54:22-05:00,6,"BEA Account Code: A2061C  For more information about this series, please see http://www.bea.gov/national/."
A2062C1A027NBEA,2024-09-17,2024-09-17,Monetary interest paid: Domestic business,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:33-05:00,1,"BEA Account Code: A2062C  For more information about this series, please see http://www.bea.gov/national/."
A2068C1A027NBEA,2024-09-17,2024-09-17,Monetary interest received,1960-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:33-05:00,1,"BEA Account Code: A2068C  For more information about this series, please see http://www.bea.gov/national/."
A2069C1A027NBEA,2024-09-17,2024-09-17,Monetary interest received: Domestic business,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:33-05:00,1,"BEA Account Code: A2069C  For more information about this series, please see http://www.bea.gov/national/."
A2201C1A027NBEA,2024-09-17,2024-09-17,Capital consumption adjustment: Domestic corporate business,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:31-05:00,0,"BEA Account Code: A2201C  For more information about this series, please see http://www.bea.gov/national/."
A2203C1A027NBEA,2024-09-17,2024-09-17,Capital consumption adjustment: Domestic corporate business: Nonfinancial,1929-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:57:31-05:00,1,"BEA Account Code: A2203C  For more information about this series, please see http://www.bea.gov/national/."
A2218C1A027NBEA,2024-09-17,2024-09-17,Dividends paid,1946-01-01,2022-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2023-10-26 07:54:19-05:00,13,"BEA Account Code: A2218C  For more information about this series, please see http://www.bea.gov/national/."
A2220C1A027NBEA,2024-09-17,2024-09-17,Dividends received (DISCONTINUED),1946-01-01,2011-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2013-03-31 23:56:40-05:00,0,"BEA Account Code: A2220C1  For more information about this series, please see http://www.bea.gov/national/."
A358RC1A027NBEA,2024-09-17,2024-09-17,Gross value added: GDP: Business: Nonfarm,1929-01-01,2023-01-01,Annual,A,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-03-28 07:58:16-05:00,3,"BEA Account Code: A358RC  For more information about this series, please see http://www.bea.gov/national/."
A358RC1Q027SBEA,2024-09-17,2024-09-17,Gross value added: GDP: Business: Nonfarm,1947-01-01,2024-04-01,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-08-29 10:58:18-05:00,9,"BEA Account Code: A358RC  For more information about this series, please see http://www.bea.gov/national/."
