id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
PCU721110721110,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels",2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:07-05:00,30,
PCU7211107211101,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Guestroom Rental",2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:20-05:00,3,
PCU721110721110101,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Limited Service Hotels and Motels Guestroom Rental",1993-06-01,2024-08-01,Monthly,M,Index Jun 1993=100,Index Jun 1993=100,Not Seasonally Adjusted,NSA,2024-09-12 07:55:57-05:00,2,
PCU721110721110102,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Full Service Hotels and Motels Guestroom Rental",1993-06-01,2024-08-01,Monthly,M,Index Jun 1993=100,Index Jun 1993=100,Not Seasonally Adjusted,NSA,2024-09-12 07:58:33-05:00,1,
PCU721110721110103,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Luxury and Resort Hotels Guestroom Rental",1993-06-01,2024-08-01,Monthly,M,Index Jun 1993=100,Index Jun 1993=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:10-05:00,11,
PCU7211107211102,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Hotel and Motel Food and Beverage and Related Services",2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:58:33-05:00,1,
PCU721110721110201,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Hotel and Motel Food and Nonalcoholic Beverage and Related Services",2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:21-05:00,4,
PCU721110721110202,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Hotel and Motel Alcoholic Beverage and Related Services",2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:55:57-05:00,3,
PCU7211107211105,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Other Hotel and Motel Services",2010-12-01,2024-08-01,Monthly,M,Index Dec 2010=100,Index Dec 2010=100,Not Seasonally Adjusted,NSA,2024-09-12 07:58:33-05:00,1,
PCU721110721110P,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Primary Services",2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:58:33-05:00,1,
PCU721110721110SM1,2024-09-18,2024-09-18,"Producer Price Index by Industry: Hotels and Motels, Except Casino Hotels: Other Receipts",2010-12-01,2024-08-01,Monthly,M,Index Dec 2010=100,Index Dec 2010=100,Not Seasonally Adjusted,NSA,2024-09-12 07:58:33-05:00,1,
PCU7211172111,2024-09-18,2024-09-18,Producer Price Index by Industry: Hotels (Excluding Casino Hotels) and Motels,2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:20-05:00,3,
PCU721120721120,2024-09-18,2024-09-18,Producer Price Index by Industry: Casino Hotels,2003-12-01,2024-08-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:18-05:00,4,
PCU7211207211201,2024-09-18,2024-09-18,Producer Price Index by Industry: Casino Hotels: Casino Hotel Guestroom Rental,2001-06-01,2024-08-01,Monthly,M,Index Jun 2001=100,Index Jun 2001=100,Not Seasonally Adjusted,NSA,2024-09-12 07:53:18-05:00,5,
