id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
SMS36356440000000001,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2014-12-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2015-01-28 13:56:24-06:00,1,This series is seasonally adjusted by the U.S. Bureau of Labor Statistics.
SMU36356440000000001,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2014-12-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2015-01-28 14:28:14-06:00,0,
SMU36356440000000001A,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2013-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2014-03-24 19:33:03-05:00,0,
SMU36356440000000001SA,2024-09-18,2024-09-18,"All Employees: Total Nonfarm in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2013-12-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2014-02-02 11:02:24-06:00,1,The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at https://www.census.gov/srd/www/x13as/.
SMU36356440500000001,2024-09-18,2024-09-18,"All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2014-12-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2015-01-28 14:28:14-06:00,1,
SMU36356440500000001A,2024-09-18,2024-09-18,"All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2013-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2014-03-24 19:33:03-05:00,1,
SMU36356440500000001SA,2024-09-18,2024-09-18,"All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2014-12-01,Monthly,M,Thousands of Persons,Thous. of Persons,Seasonally Adjusted,SA,2015-01-28 14:28:14-06:00,1,The Federal Reserve Bank of St. Louis seasonally adjusts this series by using the 'x12' package from R with default parameter settings. The package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal Adjustment Program. More information on the 'x12' package can be found at http://cran.r-project.org/web/packages/x12/x12.pdf. More information on X-12-ARIMA can be found at https://www.census.gov/srd/www/x13as/.
SMU36356440500000002,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2014-12-01,Monthly,M,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,2015-01-28 14:28:14-06:00,0,
SMU36356440500000002A,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2013-01-01,Annual,A,Hours per Week,Hours per Week,Not Seasonally Adjusted,NSA,2014-03-24 19:33:02-05:00,0,
SMU36356440500000002SA,2024-09-18,2024-09-18,"Average Weekly Hours of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2014-12-01,Monthly,M,Hours per Week,Hours per Week,Seasonally Adjusted,SA,2015-01-28 14:28:14-06:00,1,"This series is discontinued and will no longer be updated. The Federal Reserve Bank of St. Louis previously calculated this seasonally adjusted (SA) series based on the not seasonally adjusted (NSA) version available here (https://fred.stlouisfed.org/series/SMU36356440500000002). However, most of the earnings-related series do not have a significant seasonal component, so the values for both the SA and the NSA series are very similar. See the NSA series (https://fred.stlouisfed.org/series/SMU36356440500000002) for updated values.  The Federal Reserve Bank of St. Louis used to seasonally adjust this series by using the 'statsmodels' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodels' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/data/software/x13as.html).  Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU36356440500000002).  Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator."
SMU36356440500000003,2024-09-18,2024-09-18,"Average Hourly Earnings of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2014-12-01,Monthly,M,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,2015-01-28 14:28:14-06:00,1,
SMU36356440500000003A,2024-09-18,2024-09-18,"Average Hourly Earnings of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2013-01-01,Annual,A,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,2014-03-24 19:33:02-05:00,0,
SMU36356440500000003SA,2024-09-18,2024-09-18,"Average Hourly Earnings of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2014-12-01,Monthly,M,Dollars per Hour,$ per Hour,Seasonally Adjusted,SA,2015-01-28 14:28:14-06:00,0,"This series is discontinued and will no longer be updated. The Federal Reserve Bank of St. Louis previously calculated this seasonally adjusted (SA) series based on the not seasonally adjusted (NSA) version available here (https://fred.stlouisfed.org/series/SMU36356440500000003). However, most of the earnings-related series do not have a significant seasonal component, so the values for both the SA and the NSA series are very similar. See the NSA series (https://fred.stlouisfed.org/series/SMU36356440500000003) for updated values.  The Federal Reserve Bank of St. Louis used to seasonally adjust this series by using the 'statsmodels' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodels' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/data/software/x13as.html).  Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU36356440500000003).  Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator."
SMU36356440500000011,2024-09-18,2024-09-18,"Average Weekly Earnings of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2014-12-01,Monthly,M,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2015-01-28 14:28:14-06:00,1,
SMU36356440500000011A,2024-09-18,2024-09-18,"Average Weekly Earnings of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2013-01-01,Annual,A,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2014-03-24 19:33:02-05:00,0,
SMU36356440500000011SA,2024-09-18,2024-09-18,"Average Weekly Earnings of All Employees: Total Private in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",2007-01-01,2014-12-01,Monthly,M,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2015-01-28 14:28:14-06:00,1,"This series is discontinued and will no longer be updated. The Federal Reserve Bank of St. Louis previously calculated this seasonally adjusted (SA) series based on the not seasonally adjusted (NSA) version available here (https://fred.stlouisfed.org/series/SMU36356440500000011). However, most of the earnings-related series do not have a significant seasonal component, so the values for both the SA and the NSA series are very similar. See the NSA series (https://fred.stlouisfed.org/series/SMU36356440500000011) for updated values.  The Federal Reserve Bank of St. Louis used to seasonally adjust this series by using the 'statsmodels' library from Python with default parameter settings. The package uses the U.S. Bureau of the Census X-13ARIMA-SEATS Seasonal Adjustment Program. More information on the 'statsmodels' X-13ARIMA-SEATS package can be found here (https://www.statsmodels.org/dev/generated/statsmodels.tsa.x13.x13_arima_analysis.html). More information on X-13ARIMA-SEATS can be found here (https://www.census.gov/data/software/x13as.html).  Many series include both seasonally adjusted (SA) and not seasonally adjusted (NSA) data. Occasionally, updates to the data will not include sufficient seasonal factors to trigger a seasonal adjustment. In these cases, the NSA series will be updated normally; but the SA series will also be updated with the NSA data. The NSA series can be located here here (https://fred.stlouisfed.org/series/SMU36356440500000011).  Some seasonally adjusted series may exhibit negative values because they are created from a seasonal adjustment process regardless of the actual meaning or interpretation of the given indicator."
SMU36356440600000001,2024-09-18,2024-09-18,"All Employees: Goods Producing in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2014-12-01,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2015-01-28 14:28:14-06:00,1,
SMU36356440600000001A,2024-09-18,2024-09-18,"All Employees: Goods Producing in New York-White Plains-Wayne, NY-NJ (MD) (DISCONTINUED)",1990-01-01,2013-01-01,Annual,A,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2014-03-24 19:33:02-05:00,0,
