id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
EABNQ,2024-09-18,2024-09-18,"Average Loan Size of Loans Backed by Small Business Administration (SBA), All Commercial Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2017-08-04 15:51:30-05:00,3,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EABXDBNQ,2024-09-18,2024-09-18,"Average Loan Size of Loans Backed by Small Business Administration (SBA), Domestic Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2017-08-04 16:21:41-05:00,2,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EABXFBNQ,2024-09-18,2024-09-18,"Average Loan Size of Loans Backed by Small Business Administration (SBA), U.S. Branches and Agencies of Foreign Banks (DISCONTINUED)",2013-01-01,2013-01-01,"Quarterly, 2nd Month's 1st Full Week",Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2013-10-11 11:27:27-05:00,1,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EABXSLNQ,2024-09-18,2024-09-18,"Average Loan Size of Loans Backed by Small Business Administration (SBA), Large Domestic Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2017-08-04 16:21:41-05:00,1,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EABXSSNQ,2024-09-18,2024-09-18,"Average Loan Size of Loans Backed by Small Business Administration (SBA), Small Domestic Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2017-08-04 16:21:41-05:00,2,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EB10000PNQ,2024-09-18,2024-09-18,"Percent of Value of Loans Small Business Administration (SBA) Backed by Size of Loan: ($ Thousands) $10,000+, All Commercial Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Percent,%,Not Seasonally Adjusted,NSA,2017-08-04 16:18:35-05:00,0,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EB10000PXDBNQ,2024-09-18,2024-09-18,"Percent of Value of Loans Small Business Administration (SBA) Backed by Size of Loan: ($ Thousands) $10,000+, Domestic Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Percent,%,Not Seasonally Adjusted,NSA,2017-08-04 15:51:37-05:00,1,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EB10000PXFBNQ,2024-09-18,2024-09-18,"Percent of Value of Loans Small Business Administration (SBA) Backed by Size of Loan: ($ Thousands) $10,000+, U.S. Branches and Agencies of Foreign Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Percent,%,Not Seasonally Adjusted,NSA,2017-08-04 16:18:35-05:00,1,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EB10000PXSLNQ,2024-09-18,2024-09-18,"Percent of Value of Loans Small Business Administration (SBA) Backed by Size of Loan: ($ Thousands) $10,000+, Large Domestic Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Percent,%,Not Seasonally Adjusted,NSA,2017-08-04 16:18:32-05:00,1,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
EB1000T9999NQ,2024-09-18,2024-09-18,"Percent of Value of Loans Small Business Administration (SBA) Backed by Size of Loan: ($ Thousands) $1,000 to $9,999, All Commercial Banks (DISCONTINUED)",2012-07-01,2017-04-01,"Quarterly, 2nd Month's 1st Full Week",Q,Percent,%,Not Seasonally Adjusted,NSA,2017-08-04 16:18:32-05:00,1,"For further information, please refer to the Board of Governors of the Federal Reserve System's E.2 release, online at http://www.federalreserve.gov/releases/e2/about.htm or in the footnotes of the E.2, Survey of Terms of Business Lending Release. These data are collected during the middle month of each quarter and are released in the middle of the succeeding month."
