id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
ECBASSETS,2024-09-18,2024-09-18,Central Bank Assets for Euro Area (11-19 Countries) (DISCONTINUED),1998-12-01,2020-01-01,"Monthly, End of Month",M,Millions of Euros,Mil. of Euros,Not Seasonally Adjusted,NSA,2020-02-04 11:31:02-06:00,25,"This series will no longer be updated. It has been replaced with ECBASSETSW (https://fred.stlouisfed.org/series/ECBASSETSW) that updates on a weekly basis.  Copyright, 2016, European Central Bank (ECB). Reprinted with permission."
ECBASSETSW,2024-09-18,2024-09-18,Central Bank Assets for Euro Area (11-19 Countries),1999-01-01,2024-09-13,Weekly,W,Millions of Euros,Mil. of Euros,Not Seasonally Adjusted,NSA,2024-09-17 11:01:02-05:00,64,"A longer history for this series is available on the monthly series ECBASSETS (https://fred.stlouisfed.org/series/ECBASSETS).  Copyright, 2016, European Central Bank (ECB). Reprinted with permission."
JPNASSETS,2024-09-18,2024-09-18,Bank of Japan: Total Assets for Japan,1998-04-01,2024-08-01,"Monthly, End of Period",M,100 Million Yen,100 Mil. Yen,Not Seasonally Adjusted,NSA,2024-09-03 20:11:01-05:00,58,"Copyright, 2016, Bank of Japan."
UKASSETS,2024-09-18,2024-09-18,Total Central Bank Assets for United Kingdom (DISCONTINUED),2006-05-01,2014-09-01,"Monthly, End of Period",M,Millions of Pounds,Mil. of Pounds,Not Seasonally Adjusted,NSA,2014-09-29 08:31:08-05:00,15,"Following changes to legislation in the 2009 Banking Act and the recommendations of the Plenderleith Review the Bank of England replaced the Bank Return (Table B1.1.1) with a new Weekly Report (Table B1.1.2). The main omissions are the overall size of the Bank’s balance sheet. More information can be found in 'Changes to the Bank's weekly reporting regime' published in the Bank of England Quarterly Bulletin, available at https://www.bankofengland.co.uk/-/media/boe/files/quarterly-bulletin/2014/changes-the-banks-weekly-reporting-regime  This series was from the Central Bank's Balance Sheet (Bank Return, Table B1.1.1) and was updated using Bank of England's Interactive Database. Source Code: RPWB75A  Copyright, 2016, Bank of England."
