id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
ATNHPIUS47460Q,2024-09-18,2024-09-18,"All-Transactions House Price Index for Walla Walla, WA (MSA)",1989-07-01,2024-04-01,Quarterly,Q,Index 1995:Q1=100,Index 1995 Q1=100,Not Seasonally Adjusted,NSA,2024-08-27 09:04:07-05:00,1,Estimated using sales prices and appraisal data.
ENUC474630010,2024-09-18,2024-09-18,"Total Quarterly Wages in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars,$,Not Seasonally Adjusted,NSA,2024-09-04 11:14:34-05:00,1,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474630010SA,2024-09-18,2024-09-18,"Total Quarterly Wages in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars,$,Seasonally Adjusted,SA,2024-09-04 11:22:07-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640010,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Total Covered Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 11:14:34-05:00,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640010SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Total Covered Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-09-04 11:22:07-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640110,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Federal Government Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 11:21:21-05:00,0,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640110SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Federal Government Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-09-04 11:15:39-05:00,1,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640210,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in State Government Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 11:21:21-05:00,0,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640210SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in State Government Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-09-04 11:22:07-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC474640310,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Local Government Establishments in Walla Walla, WA (MSA)",2013-01-01,2024-01-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 11:14:33-05:00,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
