series_id,check_timestamp,data_available,response_time_ms,record_count,last_period,error_message
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MB.levels.Q,2025-07-13T17:38:58.250650,1,371,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MC.levels.Q,2025-07-13T17:38:58.310696,1,361,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N30.levels.Q,2025-07-13T17:38:58.354958,1,334,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N29.levels.Q,2025-07-13T17:38:58.373221,1,382,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N42.levels.Q,2025-07-13T17:38:58.454359,1,371,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N41.levels.Q,2025-07-13T17:38:58.417777,1,366,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N43.levels.Q,2025-07-13T17:38:58.486956,1,371,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N45.levels.Q,2025-07-13T17:38:58.537386,1,373,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N47.levels.Q,2025-07-13T17:38:58.594599,1,370,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N46.levels.Q,2025-07-13T17:38:58.616775,1,425,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N55.levels.Q,2025-07-13T17:38:58.656972,1,377,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.N56.levels.Q,2025-07-13T17:38:58.725638,1,385,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.NZ.levels.Q,2025-07-13T17:38:58.793683,1,380,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.OZ.levels.Q,2025-07-13T17:38:58.836509,1,353,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.PZ.levels.Q,2025-07-13T17:38:58.876892,1,361,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.OQ.levels.Q,2025-07-13T17:38:58.846773,1,391,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.QB.levels.Q,2025-07-13T17:38:58.943869,1,368,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.QA.levels.Q,2025-07-13T17:38:58.934428,1,389,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.SZ.levels.Q,2025-07-13T17:38:59.023211,1,367,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.RZ.levels.Q,2025-07-13T17:38:58.990138,1,365,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.TERTIAIRE.levels.Q,2025-07-13T17:38:59.045543,1,357,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.TERT_INTERIM.levels.Q,2025-07-13T17:38:59.143634,1,388,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.TOT.levels.Q,2025-07-13T17:38:59.214203,1,386,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.TOT_INTERIM.levels.Q,2025-07-13T17:38:59.265120,1,383,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.Tert_March.levels.Q,2025-07-13T17:38:59.299630,1,347,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.TZ.levels.Q,2025-07-13T17:38:59.305123,1,385,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.ASSOC.levels.Q,2025-07-13T17:38:59.353217,1,370,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.BTP.levels.Q,2025-07-13T17:38:59.384365,1,362,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.BZ.levels.Q,2025-07-13T17:38:59.405939,1,352,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.CA.levels.Q,2025-07-13T17:38:59.435382,1,342,108,,
