series_id,dimension_key,dimension_value,scraped_at
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BTP.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.193039
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BTP.levels.Q,measurement,levels,2025-07-13T17:38:57.193046
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.BTP.levels.Q,sector,BTP,2025-07-13T17:38:57.193050
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CE.levels.Q,freq,Q,2025-07-13T17:38:57.220699
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CE.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.220769
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CE.levels.Q,measurement,levels,2025-07-13T17:38:57.220776
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CE.levels.Q,sector,CE,2025-07-13T17:38:57.220780
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CF.levels.Q,freq,Q,2025-07-13T17:38:57.251591
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CF.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.251659
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CF.levels.Q,measurement,levels,2025-07-13T17:38:57.251666
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CF.levels.Q,sector,CF,2025-07-13T17:38:57.251674
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CAISSE_CONGES.levels.Q,freq,Q,2025-07-13T17:38:57.282540
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CAISSE_CONGES.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.282611
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CAISSE_CONGES.levels.Q,measurement,levels,2025-07-13T17:38:57.282618
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CAISSE_CONGES.levels.Q,sector,CAISSE_CONGES,2025-07-13T17:38:57.282621
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CB.levels.Q,freq,Q,2025-07-13T17:38:57.314336
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CB.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.314406
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CB.levels.Q,measurement,levels,2025-07-13T17:38:57.314413
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CB.levels.Q,sector,CB,2025-07-13T17:38:57.314417
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CI.levels.Q,freq,Q,2025-07-13T17:38:57.343886
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CI.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.343963
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CI.levels.Q,measurement,levels,2025-07-13T17:38:57.343970
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CI.levels.Q,sector,CI,2025-07-13T17:38:57.343974
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CJ.levels.Q,freq,Q,2025-07-13T17:38:57.460115
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CJ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.460217
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CJ.levels.Q,measurement,levels,2025-07-13T17:38:57.460225
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CJ.levels.Q,sector,CJ,2025-07-13T17:38:57.460230
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CK.levels.Q,freq,Q,2025-07-13T17:38:57.520139
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CK.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.520210
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CK.levels.Q,measurement,levels,2025-07-13T17:38:57.520217
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CK.levels.Q,sector,CK,2025-07-13T17:38:57.520221
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CL.levels.Q,freq,Q,2025-07-13T17:38:57.545301
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CL.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.545364
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CL.levels.Q,measurement,levels,2025-07-13T17:38:57.545370
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CL.levels.Q,sector,CL,2025-07-13T17:38:57.545373
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CM.levels.Q,freq,Q,2025-07-13T17:38:57.578057
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CM.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.578443
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CM.levels.Q,measurement,levels,2025-07-13T17:38:57.578620
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CM.levels.Q,sector,CM,2025-07-13T17:38:57.578772
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CONC_INSEE.levels.Q,freq,Q,2025-07-13T17:38:57.623011
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CONC_INSEE.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.623081
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CONC_INSEE.levels.Q,measurement,levels,2025-07-13T17:38:57.623087
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.CONC_INSEE.levels.Q,sector,CONC_INSEE,2025-07-13T17:38:57.623091
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.DZ.levels.Q,freq,Q,2025-07-13T17:38:57.655193
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.DZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.655327
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.DZ.levels.Q,measurement,levels,2025-07-13T17:38:57.662575
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.DZ.levels.Q,sector,DZ,2025-07-13T17:38:57.662590
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.FZ.levels.Q,freq,Q,2025-07-13T17:38:57.701102
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.FZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.701190
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.FZ.levels.Q,measurement,levels,2025-07-13T17:38:57.701240
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.FZ.levels.Q,sector,FZ,2025-07-13T17:38:57.701247
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.GZ.levels.Q,freq,Q,2025-07-13T17:38:57.732422
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.GZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.732500
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.GZ.levels.Q,measurement,levels,2025-07-13T17:38:57.732507
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.GZ.levels.Q,sector,GZ,2025-07-13T17:38:57.732511
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.HZ.levels.Q,freq,Q,2025-07-13T17:38:57.760859
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.HZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.760932
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.HZ.levels.Q,measurement,levels,2025-07-13T17:38:57.760940
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.HZ.levels.Q,sector,HZ,2025-07-13T17:38:57.760944
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.EZ.levels.Q,freq,Q,2025-07-13T17:38:57.794736
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.EZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.794824
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.EZ.levels.Q,measurement,levels,2025-07-13T17:38:57.794832
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.EZ.levels.Q,sector,EZ,2025-07-13T17:38:57.794837
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INDUSTRIE.levels.Q,freq,Q,2025-07-13T17:38:57.872143
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INDUSTRIE.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.872209
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INDUSTRIE.levels.Q,measurement,levels,2025-07-13T17:38:57.872216
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.INDUSTRIE.levels.Q,sector,INDUSTRIE,2025-07-13T17:38:57.872219
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ISBLSM.levels.Q,freq,Q,2025-07-13T17:38:57.940316
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ISBLSM.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:57.940420
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ISBLSM.levels.Q,measurement,levels,2025-07-13T17:38:57.940430
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.ISBLSM.levels.Q,sector,ISBLSM,2025-07-13T17:38:57.940494
